trade_date,ts_code,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate,volume_ratio,ma5,ma_v_5,ma10,ma_v_10,ma13,ma_v_13,ma21,ma_v_21,ma30,ma_v_30,ma60,ma_v_60,ma120,ma_v_120
20120316,000525.SZ,12.904,13.0379,12.7075,12.9754,12.9486,0.026799999999999713,0.207,25726.27,37192.5702,0.9307,0.87,13.463,31001.842,13.6184,32553.514,13.494,31218.8431,13.3352,28793.4805,13.1112,26105.5613,,,,
20120319,000525.SZ,12.9844,13.288,12.7879,13.1808,12.9754,0.20539999999999914,1.583,29319.3,42717.9574,1.0607,0.95,13.2808,29977.534,13.5585,28191.502,13.4913,31627.8362,13.3509,29327.7367,13.1332,26415.3857,,,,
20120320,000525.SZ,13.1808,13.2612,12.8057,12.9486,13.1808,-0.23219999999999885,-1.7617,22314.58,32446.8492,0.8073,0.74,13.0558,31257.648,13.4639,26507.38,13.4913,31344.9923,13.3539,29169.5724,13.1579,26655.535,,,,
20120321,000525.SZ,12.9665,13.0201,12.7432,12.7879,12.9486,-0.1607000000000003,-1.2411,13864.88,19987.2641,0.5016,0.44,12.9683,26629.98,13.3773,26122.205,13.4693,30079.5308,13.3526,28991.5762,13.1707,26558.8043,,,,
20120322,000525.SZ,12.7968,12.904,12.4128,12.6093,12.7879,-0.1786000000000012,-1.3966,21307.12,30092.386,0.7708,0.8,12.9004,22506.43,13.2656,25994.133,13.3793,26107.8154,13.3343,28819.65,13.1746,26670.6043,,,,
20120323,000525.SZ,12.5914,12.6182,12.1985,12.3682,12.6093,-0.24109999999999943,-1.9121,20120.54,27935.8727,0.7279,0.89,12.779,21385.284,13.121,26193.563,13.2619,24643.5646,13.3007,28676.8919,13.1686,26642.8307,,,,
20120326,000525.SZ,12.3682,12.4843,12.1985,12.4575,12.3682,0.08929999999999971,0.722,11296.39,15659.495,0.4087,0.53,12.6343,17780.702,12.9576,23879.118,13.1698,24149.7,13.2578,27569.9971,13.1573,26485.5943,,,,
20120327,000525.SZ,12.4932,12.5557,12.4575,12.5289,12.4575,0.07140000000000057,0.5731,17372.5,24327.0357,0.6285,0.98,12.5504,16792.286,12.8031,24024.967,13.0778,23748.52,13.2191,27076.4524,13.1516,26067.1123,,,,
20120328,000525.SZ,12.4843,12.5289,11.8949,12.1003,12.5289,-0.4285999999999994,-3.4209,17259.69,23579.8109,0.6244,1.03,12.4128,17471.248,12.6905,22050.614,12.9459,23681.8623,13.1621,26604.76,13.1293,25829.1507,,,,
20120330,000525.SZ,12.2253,12.2253,11.5198,11.877,12.1003,-0.22330000000000005,-1.8454,29892.75,39659.1457,1.0814,1.71,12.2664,19188.374,12.5834,20847.402,12.7755,23332.0092,13.0983,26885.2533,13.0966,26247.028,,,,
20120405,000525.SZ,11.9663,12.4575,11.8234,12.386,11.877,0.5089999999999986,4.2856,14314.9,19513.0732,0.5179,0.75,12.2699,18027.246,12.5244,19706.265,12.6457,23209.0008,13.0715,26329.2224,13.0811,26120.8607,,,,
20120406,000525.SZ,12.395,12.5378,12.1449,12.1539,12.386,-0.23209999999999908,-1.8739,17823.33,24629.2247,0.6448,0.99,12.2092,19332.634,12.4218,18556.668,12.5633,21733.6246,13.0277,25734.339,13.0567,25860.4373,,,,
20120409,000525.SZ,12.1539,12.6629,12.1539,12.3592,12.1539,0.20529999999999937,1.6892,28875.39,40305.2205,1.0446,1.49,12.1753,21633.212,12.3628,19212.749,12.5179,20729.8185,12.9601,23636.0519,13.0415,26236.1903,12.6819,22559.2917,,
20120410,000525.SZ,12.3592,12.8147,12.2967,12.779,12.3592,0.4198000000000004,3.3967,25507.05,35870.2122,0.9228,1.18,12.311,23282.684,12.3619,20376.966,12.5028,20712.9554,12.907,22986.1114,13.0344,26255.8397,12.6904,22883.5408,,
20120411,000525.SZ,12.7254,12.8057,12.5021,12.5914,12.779,-0.18759999999999977,-1.468,21730.55,30693.1842,0.7861,0.93,12.4539,21650.244,12.3601,20419.309,12.4575,20129.2054,12.8563,23177.2505,13.0183,26209.576,12.7038,23148.9667,,
20120412,000525.SZ,12.5914,12.77,12.4128,12.6629,12.5914,0.07150000000000034,0.5678,24438.72,34457.9315,0.8841,1.13,12.5093,23675.008,12.3896,20851.127,12.4355,20292.6008,12.8057,23265.3876,12.9951,25872.8273,12.7282,23234.1707,,
20120413,000525.SZ,12.7075,12.7879,12.6004,12.6629,12.6629,0.0,0.0,21678.33,30843.7533,0.7843,0.92,12.6111,24446.008,12.4101,21889.321,12.4259,20893.6354,12.7509,23434.5348,12.9724,25670.8737,12.7449,23261.0263,,
20120416,000525.SZ,12.5914,12.6271,12.4039,12.4843,12.6629,-0.1786000000000012,-1.4104,17016.45,23835.7036,0.6156,0.7,12.6361,22074.22,12.4057,21853.716,12.4163,20563.5838,12.6744,22604.8019,12.9454,25332.581,12.7507,23239.0885,,
20120417,000525.SZ,12.4664,12.6182,12.4218,12.4396,12.4843,-0.04469999999999885,-0.358,13119.87,18370.1174,0.4746,0.59,12.5682,19596.784,12.4396,21439.734,12.4218,20025.0708,12.5965,22471.7476,12.9195,24969.8303,12.7507,23044.8833,,
20120418,000525.SZ,12.4575,12.6718,12.4218,12.6539,12.4396,0.2142999999999997,1.7227,19725.26,27775.7551,0.7136,1.01,12.5807,19195.726,12.5173,20422.985,12.4369,20673.4454,12.5693,21648.9876,12.9096,24760.954,12.754,22558.8088,,
20120419,000525.SZ,12.6271,12.8057,12.5646,12.7164,12.6539,0.0625,0.4939,29990.01,42622.5127,1.085,1.56,12.5914,20305.984,12.5503,21990.496,12.4513,21644.0231,12.5583,21080.661,12.8977,24750.0917,12.7621,22795.133,,
20120420,000525.SZ,12.7075,12.7432,12.5557,12.6539,12.7164,-0.0625,-0.4915,22942.85,32444.7104,0.83,1.13,12.5896,20558.888,12.6003,22502.448,12.4939,22081.1892,12.5429,20948.1171,12.8602,23083.5393,12.7799,23079.414,,
20120423,000525.SZ,12.779,13.2612,12.77,13.0379,12.6539,0.38400000000000034,3.0346,70934.54,103785.0732,2.5662,3.45,12.7003,31342.506,12.6682,26708.363,12.5832,25238.25,12.5361,22929.7952,12.8316,24142.8307,12.7932,23904.0797,,
20120424,000525.SZ,12.8593,13.0737,12.2253,12.5468,13.0379,-0.4911000000000012,-3.7667,43159.27,61026.3958,1.5614,1.38,12.7218,37350.386,12.645,28473.585,12.5955,27457.0477,12.517,23922.3995,12.7947,24990.9187,12.8014,24251.8242,,
20120425,000525.SZ,12.5289,12.5289,12.2342,12.4128,12.5468,-0.13399999999999856,-1.068,34057.61,47198.0396,1.2321,0.91,12.6736,40216.856,12.6271,29706.291,12.6155,28705.8385,12.4991,24883.9581,12.751,25373.2443,12.8071,24603.8593,,
20120426,000525.SZ,12.5557,12.5557,12.0556,12.136,12.4128,-0.2768000000000015,-2.23,29677.61,40666.8588,1.0736,0.74,12.5575,40154.376,12.5744,30230.18,12.5983,28767.5477,12.4766,25282.5529,12.695,25758.29,12.8047,24891.2867,,
20120427,000525.SZ,12.1896,12.2253,11.9931,12.0378,12.136,-0.09819999999999851,-0.8092,22506.39,30459.2633,0.8142,0.56,12.4343,40067.084,12.5119,30312.986,12.5413,28536.7277,12.4609,25396.1648,12.6266,25360.475,12.8016,25031.6765,,
20120502,000525.SZ,12.1271,12.4575,12.1092,12.3682,12.0378,0.33039999999999914,2.7447,30782.49,42450.3084,1.1136,0.77,12.3003,32036.674,12.5003,31689.59,12.5241,29233.0308,12.4566,26324.0743,12.5697,25856.091,12.805,25383.7342,,
20120503,000525.SZ,12.3682,12.4128,12.1628,12.1985,12.3682,-0.16970000000000063,-1.3721,26038.45,35836.0956,0.942,0.81,12.2307,28612.51,12.4762,32981.448,12.4884,29356.0869,12.4409,26736.7386,12.5355,25490.5987,12.8062,25693.269,,
20120504,000525.SZ,12.2342,12.3771,12.1539,12.3325,12.1985,0.13400000000000034,1.0985,27484.99,37824.6504,0.9943,0.96,12.2146,27297.986,12.4441,33757.421,12.463,29802.7531,12.4519,27223.6576,12.5149,25009.2693,12.8044,25793.8892,,
20120507,000525.SZ,12.2789,12.4843,12.1449,12.4753,12.3325,0.14280000000000115,1.1579,49489.69,68395.9919,1.7904,1.81,12.2825,31260.402,12.42,35707.389,12.4623,32300.6946,12.4804,28156.8452,12.4983,25801.3833,12.8047,25953.4723,,
20120508,000525.SZ,12.5021,12.5468,12.3325,12.52,12.4753,0.04469999999999885,0.3583,38161.26,53286.2402,1.3806,1.22,12.3789,34391.376,12.4066,37229.23,12.4685,34226.9554,12.4868,29292.3862,12.4762,26096.1153,12.8047,26255.7505,,
20120509,000525.SZ,12.4753,12.4753,12.0556,12.1539,12.52,-0.3660999999999994,-2.9241,39193.6,53749.3463,1.4179,1.14,12.336,36073.598,12.3182,34055.136,12.43,35724.52,12.4868,30310.0181,12.4497,26658.7493,12.8038,26657.1422,,
20120510,000525.SZ,12.1449,12.3057,12.1092,12.1985,12.1539,0.044599999999999085,0.367,14356.56,19626.1353,0.5194,0.4,12.336,33737.22,12.2833,31174.865,12.3902,34521.9469,12.4792,29618.6452,12.4301,26675.1387,12.8004,26616.9715,,
20120511,000525.SZ,12.3146,12.4932,12.2253,12.3592,12.1985,0.1607000000000003,1.3174,42953.9,59526.1818,1.5539,1.27,12.3414,36831.002,12.278,32064.494,12.3675,36061.2585,12.4592,30449.4476,12.4218,27396.698,12.7982,27033.6512,,
20120514,000525.SZ,12.3682,12.4575,12.1449,12.1896,12.3592,-0.16959999999999908,-1.3723,27406.18,37612.545,0.9915,0.74,12.2842,32414.3,12.2833,31837.351,12.3022,32712.9231,12.44,30719.7157,12.4158,27639.5527,12.7922,27141.1917,,
20120515,000525.SZ,12.0824,12.0824,11.7431,12.011,12.1896,-0.1786000000000012,-1.4652,31797.26,42393.0953,1.1503,0.98,12.1824,31141.5,12.2807,32766.438,12.261,31838.9223,12.409,31070.1224,12.4009,28322.915,12.7791,27404.2547,,
20120516,000525.SZ,11.9931,11.9931,11.6091,11.6091,12.011,-0.4018999999999995,-3.3461,21266.13,28125.1257,0.7693,0.68,12.0735,27556.006,12.2048,31814.802,12.1992,30854.9623,12.3588,31050.4938,12.3703,28452.7027,12.7609,27259.9075,,
20120517,000525.SZ,11.6895,11.9485,11.6448,11.9306,11.6091,0.32150000000000034,2.7694,26114.18,34443.376,0.9447,0.95,12.0199,29907.53,12.178,31822.375,12.1834,30580.8523,12.3325,31483.719,12.3646,28747.8523,12.747,27288.5015,,
20120518,000525.SZ,11.8679,11.8858,11.7427,11.7605,11.9305,-0.16999999999999993,-1.4249,18383.94,24265.6475,0.6651,0.61,11.9002,24993.538,12.1208,30912.27,12.1621,30263.7408,12.3001,31734.389,12.3607,28364.2253,12.7286,27305.6267,,
20120521,000525.SZ,11.7605,11.841,11.6353,11.7158,11.7605,-0.04470000000000063,-0.3801,10902.1,14312.6988,0.3944,0.44,11.8054,21692.722,12.0448,27053.511,12.1119,28734.48,12.2554,31314.2386,12.3384,28250.4653,12.7097,27185.663,,
20120522,000525.SZ,11.8321,11.8768,11.6979,11.8768,11.7158,0.1609999999999996,1.3742,15701.73,20668.4926,0.568,0.72,11.7786,18473.616,11.9805,24807.558,12.0871,27939.3477,12.2155,30633.8443,12.3291,28179.7453,12.6929,27020.0913,,
20120523,000525.SZ,11.8679,11.8679,11.6979,11.6979,11.8768,-0.17889999999999873,-1.5063,12160.13,15983.7628,0.4399,0.66,11.7963,16652.416,11.9349,22104.211,12.0383,26760.5123,12.1699,30120.3814,12.3071,27622.57,12.6743,26929.3802,,
